caption_length,hashtag_count,emoji_count,has_question,posting_hour,likes,comments,engagement
112,9,5,0,14,4076,87,4337
280,8,1,1,8,2297,114,2639
116,17,7,1,15,128,439,1445
81,26,9,0,8,3976,391,5149
198,25,4,1,20,905,430,2195
30,1,6,0,6,2198,279,3035
112,4,9,1,12,1081,205,1696
131,28,1,0,17,4990,288,5854
224,4,7,0,22,3321,472,4737
97,5,1,1,10,3626,177,4157
109,18,3,1,9,4232,331,5225
161,7,0,0,17,3506,210,4136
140,15,4,1,22,3556,67,3757
159,12,8,1,14,457,77,688
267,0,0,0,9,2761,255,3526
201,21,8,0,7,3138,128,3522
286,19,7,1,9,1718,379,2855
170,16,5,0,7,197,125,572
31,6,6,0,20,4377,279,5214
262,24,2,0,7,3947,435,5252
245,12,0,1,9,2000,402,3206
58,3,4,1,11,415,124,787
68,3,1,0,12,1724,426,3002
179,5,4,1,15,4581,441,5904
197,27,7,0,17,4544,321,5507
280,18,8,1,8,2596,168,3100
199,28,1,0,18,612,428,1896
184,11,2,0,13,3612,469,5019
60,21,2,1,20,2539,290,3409
64,6,0,0,6,822,269,1629
253,26,7,1,8,2087,324,3059
140,9,5,1,13,3473,165,3968
144,25,7,0,9,2617,380,3757
30,18,8,0,21,1623,312,2559
176,6,4,1,15,3744,93,4023
283,29,2,0,17,3341,146,3779
98,2,4,0,19,1296,207,1917
23,12,4,0,19,3769,313,4708
251,12,4,0,7,3889,231,4582
274,17,2,0,10,409,493,1888
62,27,9,1,10,2426,447,3767
101,29,3,1,11,3059,338,4073
273,25,8,0,18,3043,226,3721
44,19,9,0,14,1012,45,1147
215,27,8,0,20,3682,200,4282
90,7,1,1,19,1877,72,2093
59,28,7,0,12,1663,480,3103
11,8,7,1,7,1690,268,2494
63,6,6,1,12,2266,6,2284
115,0,7,1,11,4362,365,5457
269,2,2,0,22,427,129,814
200,12,5,1,7,4264,114,4606
227,27,0,0,8,4335,90,4605
53,29,6,1,10,419,429,1706
171,24,0,0,10,2246,124,2618
211,27,8,1,6,3797,131,4190
279,16,0,0,13,701,259,1478
280,24,0,1,17,819,187,1380
224,23,6,0,9,2471,20,2531
261,0,1,0,18,830,481,2273
199,5,4,0,20,1766,66,1964
222,20,7,0,16,4033,373,5152
217,5,7,1,15,1361,436,2669
246,25,2,1,8,3409,162,3895
62,11,6,0,19,572,272,1388
289,12,2,1,21,571,39,688
226,12,5,0,15,4928,271,5741
261,28,5,0,15,2370,68,2574
197,14,2,1,17,985,498,2479
50,20,6,0,14,2280,54,2442
166,15,2,0,6,4090,473,5509
24,21,7,1,10,4633,259,5410
74,20,9,0,13,4991,153,5450
18,10,3,0,16,3747,329,4734
138,27,0,0,17,2887,308,3811
145,4,3,0,6,4133,280,4973
72,3,6,1,16,2511,361,3594
148,2,3,1,10,3293,455,4658
90,18,5,1,20,3409,176,3937
172,19,8,0,10,735,421,1998
298,24,0,0,17,2210,205,2825
270,17,4,1,10,4038,449,5385
240,14,6,0,22,4116,397,5307
